timestamp,ram,usage
1639591286.824791,136925184,46.2
1639591287.0265093,137699328,50.0
1639591287.2281442,137957376,42.0
1639591287.4300573,138473472,27.5
1639591287.6316514,139763712,31.7
1639591287.8331294,140279808,35.4
1639591288.034718,140537856,21.5
1639591288.2362309,140537856,28.8
1639591288.4378777,141307904,25.9
1639591288.6394742,141824000,32.9
1639591288.8410327,142340096,36.1
1639591289.042975,143372288,34.6
1639591289.244616,143888384,33.8
1639591289.4461417,144146432,38.7
1639591289.647555,144404480,43.8
1639591289.8493898,144703488,45.7
1639591290.0513456,144928768,51.8
1639591290.2528796,145244160,20.5
1639591290.4543421,145760256,32.1
1639591290.6561315,146276352,24.1
1639591290.857764,147083264,29.6
1639591291.0594132,147341312,42.5
1639591291.2610369,147382272,31.3
1639591291.4629023,147640320,43.8
1639591291.6646185,147898368,50.0
1639591291.8661695,148963328,40.7
1639591292.0676632,152576000,40.0
1639591292.269309,153608192,26.2
1639591292.4709008,154124288,25.6
1639591292.6726506,154382336,38.8
1639591292.8742657,154640384,43.8
1639591293.0759277,156446720,25.0
1639591293.2775424,156704768,46.2
1639591293.479211,157220864,26.2
1639591293.6805842,157736960,24.7
1639591293.8821461,158769152,21.2
1639591294.083954,159027200,30.0
1639591294.285584,159293440,42.5
1639591294.4874136,160411648,29.3
1639591294.6890335,160927744,29.6
1639591294.890753,161443840,26.8
1639591295.092367,161710080,40.0
1639591295.294133,162242560,30.0
1639591295.495725,162766848,27.2
1639591295.6973395,163282944,29.6
1639591295.8988767,164057088,30.0
1639591296.1005783,164315136,34.9
1639591296.3021252,165154816,26.2
1639591296.5038536,165928960,30.0
1639591296.7055097,166187008,48.8
1639591296.9073799,166436864,30.4
1639591297.1089416,167243776,38.3
1639591297.3106856,170598400,28.0
1639591297.5125902,171094016,28.4
1639591297.7144141,173158400,32.5
1639591297.9159782,173674496,37.2
1639591298.1176164,173948928,29.6
1639591298.3192997,174989312,39.0
1639591298.520856,176537600,25.9
1639591298.722481,178085888,25.3
1639591298.9240606,178860032,24.7
1639591299.126498,179666944,55.6
1639591299.3281722,180191232,65.0
1639591299.5302734,181739520,53.2
1639591299.7317338,182521856,31.7
1639591299.9332387,184070144,25.0
1639591300.135099,184586240,30.9
1639591300.3368306,185876480,37.0
1639591300.5384202,186134528,26.2
1639591300.7401419,186908672,25.0
1639591300.941757,187166720,37.0
1639591301.1433973,187949056,31.3
1639591301.3448968,188715008,25.0
1639591301.5464554,189231104,26.2
1639591301.7480736,189747200,26.6
1639591301.949719,190263296,28.4
1639591302.151283,190779392,26.8
1639591302.3529038,191037440,25.9
1639591302.5544412,193101824,25.0
1639591302.7560732,193617920,26.2
